,AAPL,ABBV,AMZN,BA,BMY,CAT,CMCSA,COST,CSCO,CVS,F,GE,GOOG,IBM,INTC,JNJ,JPM,MCD,MDT,MMM,MRK,MSFT,NVDA,ORCL,TMUS,TSLA,UNP,V,XOM
F,0.06782973041652485,0.04375523450844987,-0.10108499370787516,0.1280675626713178,0.16485007632694787,0.26196287649090305,0.12576325862950216,0.09745626073696712,0.20439295160619372,0.1916175895414809,1.0,0.26863225192365353,0.03685018139833773,0.15433528496735505,0.07887679693273884,0.08655048871006928,0.38918922393483657,0.005129420526867964,0.05996067027638289,0.12528803225945626,0.10067677565529147,0.015210174861745003,0.08664620059081987,0.07808609521317643,0.11309991733894106,0.10065354537056906,0.3213182800608714,0.03337363236380552,0.24186510152524207
GE,0.01176807891578715,0.05342229829884719,-0.08373718858275865,0.18020051281008617,0.055574761105474706,0.09881742835476112,0.24422251377818469,0.09306024658356443,0.1430802871337215,0.21970212008552545,0.26863225192365353,1.0,-0.001566313399109552,0.1666545098693064,0.00044184726295189435,0.05807483310270217,0.25055627852549883,-0.06644006628824685,0.12278661725038044,0.04831937020561382,0.22345000362887213,-0.04842259305673207,0.005232424984912442,0.016988526080774,0.054404808342735346,0.07186384322781147,0.18345766209384698,-0.01418021399820069,0.17964431020941063
GOOG,0.4950157114448768,0.24346678557937146,0.670450065970694,0.19632463655289129,0.04362221787489478,0.11596563066676494,0.09073801107848076,0.053928322949126715,0.27332120941380816,-0.04221182298462738,0.03685018139833773,-0.001566313399109552,1.0,0.06733282618966129,0.36334869766446953,0.13480062411857552,0.1350956367660857,0.15741205181587428,0.17615769662707154,0.2685491462207158,-0.07822625033007811,0.6176201502815629,0.3761367749224669,0.23126731315669205,0.2770892204737639,0.23896066569853877,0.15551585869447504,0.5110825669219778,0.018064587101362283
IBM,-0.020040076480350368,0.2215701584459516,-0.00042617026615060185,0.13955336418943212,-0.07677447288528423,0.13376600773577194,0.0783306637883503,0.07310938643142635,0.16747094310828503,0.07878340616773355,0.15433528496735505,0.1666545098693064,0.06733282618966129,1.0,0.1638165657689482,0.08621891728279528,0.25143294366455804,0.042032917481774644,0.04273358268923758,0.060411026978037,0.13521666505373,0.06411003292599793,0.018171080316473128,0.20486857711461454,-0.04192171724096271,0.06388558631939985,0.23897938218502995,0.09895299503442052,0.19799519279840166
INTC,0.3430746849582714,0.13850854845886879,0.4234467134442295,0.1449704054891337,-0.04176745942366623,0.20338406199602488,0.15862845911258963,0.15805591336561453,0.2742720434330672,-0.055621194325587146,0.07887679693273884,0.00044184726295189435,0.36334869766446953,0.1638165657689482,1.0,0.0718409742360642,0.1935564049012321,0.13077555996529636,0.12574286609255642,0.1986878305532894,-0.047564315748584406,0.48576148388235785,0.2697915402263763,0.12327056877714355,0.08110254504329979,0.03327569890736395,0.27316131369111746,0.26527309221811013,0.14556221364616712
JNJ,0.040490233130806394,0.3224425288660497,0.05432612718655478,0.026917072288256357,0.2820265395041027,-0.014489740744046912,-0.015944346813053328,0.02519599968207492,0.22057077786778728,0.07900596883041117,0.08655048871006928,0.05807483310270217,0.13480062411857552,0.08621891728279528,0.0718409742360642,1.0,0.07376062202425646,0.15158500172291628,0.2879060917774679,0.28374270250892997,0.2429639825950524,0.2242956310701776,0.030132518405027668,0.14667396971533214,0.07983307484600219,0.03616297366093538,0.01853034194058105,0.16375051371407412,0.1327553179372441
JPM,0.20063147937228562,0.05842713043474423,0.012036651598600472,0.24173530292903564,0.03320529093714378,0.36561419495425723,0.29247590686928865,0.12447871895694236,0.2959391541476031,0.16098110604265364,0.38918922393483657,0.25055627852549883,0.1350956367660857,0.25143294366455804,0.1935564049012321,0.07376062202425646,1.0,0.09024734488015193,0.1272267862112926,0.14793258857210043,0.1613769512599105,0.1849425788096599,0.14966481393704958,0.05915658787875306,0.10114232706566986,0.012233168187146686,0.39705830850318713,0.21081394602851145,0.3030882090968534
MCD,0.18951450757401844,0.1476190047301181,0.21200532254716745,0.055579753209482,0.09698612946974158,0.3443696433107376,-0.012322691348952364,0.04137560372455359,0.10820806776648233,0.043664197245746335,0.005129420526867964,-0.06644006628824685,0.15741205181587428,0.042032917481774644,0.13077555996529636,0.15158500172291628,0.09024734488015193,1.0,0.14505155296421632,0.018542629021109383,0.041486639113070996,0.3059173930922983,0.10749793895850814,0.15564438622928042,0.02811596086005221,0.025156446982762322,0.116833743366543,0.2657082415301507,0.08034053288897937
MDT,0.16374193733540365,0.26647711969808896,0.17429495187749897,0.04881721000382642,0.17798309643782553,0.06806651014689387,0.12232355330088712,0.04454253941907758,0.15490603546470888,0.14940891261390946,0.05996067027638289,0.12278661725038044,0.17615769662707154,0.04273358268923758,0.12574286609255642,0.2879060917774679,0.1272267862112926,0.14505155296421632,1.0,0.10087689953091342,0.07213776617651439,0.25278429956441695,0.06435120800569247,0.03357317021501125,0.1572429160709163,0.17813602932057188,0.1295981196037248,0.2703884246222872,0.10844471541845742
MMM,0.14045180724525105,0.14981730074333713,0.149629456515361,0.20312138018846096,0.10622168168353097,0.1908939883181508,-0.0032968536571101777,0.07948280789358675,0.25170824874110004,0.0972658615260712,0.12528803225945626,0.04831937020561382,0.2685491462207158,0.060411026978037,0.1986878305532894,0.28374270250892997,0.14793258857210043,0.018542629021109383,0.10087689953091342,1.0,0.13293039480308624,0.24498682283253767,0.10696985942392921,0.09210089954411925,0.17491774394864515,0.01923092202922686,0.12939895205147703,0.27465810086358977,0.12148155495662481
MRK,-0.0679299933432651,0.08719665687575802,-0.23787327096459224,0.03218855810718278,0.014176448642350346,0.04607228925395108,0.11634577184051748,0.09565188505618037,0.1381047567918562,0.14592369843223596,0.10067677565529147,0.22345000362887213,-0.07822625033007811,0.13521666505373,-0.047564315748584406,0.2429639825950524,0.1613769512599105,0.041486639113070996,0.07213776617651439,0.13293039480308624,1.0,-0.09194390288779665,-0.06621083476738218,0.1027287273074197,0.037357763172648856,0.05812730638166071,0.06800588059666945,-0.02149086885476757,0.1648351582997355
MSFT,0.44225623184587753,0.2180024157615903,0.6177416784695405,0.13975819833667916,0.02750830941312738,0.258841686797471,0.1258258626045705,0.07709542428455254,0.30270556674258003,0.04557203767743079,0.015210174861745003,-0.04842259305673207,0.6176201502815629,0.06411003292599793,0.48576148388235785,0.2242956310701776,0.1849425788096599,0.3059173930922983,0.25278429956441695,0.24498682283253767,-0.09194390288779665,1.0,0.3438950894330017,0.2701327567625678,0.23930568551625284,0.2007756423432329,0.19773716974768993,0.5143823911816311,0.09819850323460258
NVDA,0.3610882119894912,0.05001545929375689,0.30939670171022854,0.06766617592643238,0.025258004243732375,0.22531806756427583,0.05072844106717125,-0.0010948155988164164,0.09889375382889884,0.023572081120257472,0.08664620059081987,0.005232424984912442,0.3761367749224669,0.018171080316473128,0.2697915402263763,0.030132518405027668,0.14966481393704958,0.10749793895850814,0.06435120800569247,0.10696985942392921,-0.06621083476738218,0.3438950894330017,1.0,0.08335636725883837,0.2569435396949397,0.26775057617356524,0.12580438077557146,0.3072913560489534,-0.0795996649734624
ORCL,0.1260190496943323,0.2128488189473349,0.23282548987678106,0.04485625426329281,0.027190934885394567,0.0892704026193597,0.018903497199186547,-0.03936127971522925,0.19177082762602882,-0.003899905978585787,0.07808609521317643,0.016988526080774,0.23126731315669205,0.20486857711461454,0.12327056877714355,0.14667396971533214,0.05915658787875306,0.15564438622928042,0.03357317021501125,0.09210089954411925,0.1027287273074197,0.2701327567625678,0.08335636725883837,1.0,0.07138995349411652,0.16585970710492043,0.024288382858495043,0.27738838572117913,0.06134349421832755
TMUS,0.23446060128243684,0.12038485633910803,0.18145626522144617,0.034224641840137654,0.05944045163444188,0.20145644241009975,0.1476936765335564,0.011443026035584105,0.19046569290386714,0.0882043231335946,0.11309991733894106,0.054404808342735346,0.2770892204737639,-0.04192171724096271,0.08110254504329979,0.07983307484600219,0.10114232706566986,0.02811596086005221,0.1572429160709163,0.17491774394864515,0.037357763172648856,0.23930568551625284,0.2569435396949397,0.07138995349411652,1.0,0.148436703400082,0.1765939659836551,0.13444332885523405,-0.1534171012342708
TSLA,0.2674113659780833,0.06810837954272557,0.21276942330679685,0.09681441992690709,0.07770023553034187,0.11961695717618204,0.09073983763965494,0.007038746916951752,0.09203955698806691,0.041260405460876476,0.10065354537056906,0.07186384322781147,0.23896066569853877,0.06388558631939985,0.03327569890736395,0.03616297366093538,0.012233168187146686,0.025156446982762322,0.17813602932057188,0.01923092202922686,0.05812730638166071,0.2007756423432329,0.26775057617356524,0.16585970710492043,0.148436703400082,1.0,0.10831677860884098,0.179055977766567,-0.03325342542151782
UNP,0.20225569760226916,0.07389873123049023,0.09046317705729044,0.3169773873738417,-0.02770836080733756,0.3400958249553915,0.25019174756344176,0.16979572695856804,0.2469777547057241,0.051381902593967604,0.3213182800608714,0.18345766209384698,0.15551585869447504,0.23897938218502995,0.27316131369111746,0.01853034194058105,0.39705830850318713,0.116833743366543,0.1295981196037248,0.12939895205147703,0.06800588059666945,0.19773716974768993,0.12580438077557146,0.024288382858495043,0.1765939659836551,0.10831677860884098,1.0,0.1456607893526715,0.24763217240932872
V,0.37857804694714203,0.21429635136218805,0.32745628034572377,0.24524102683732665,0.11417317481040626,0.18095838571121312,-0.0021989564472034563,0.05351040940487943,0.26710008410203345,0.12057942744125473,0.03337363236380552,-0.01418021399820069,0.5110825669219778,0.09895299503442052,0.26527309221811013,0.16375051371407412,0.21081394602851145,0.2657082415301507,0.2703884246222872,0.27465810086358977,-0.02149086885476757,0.5143823911816311,0.3072913560489534,0.27738838572117913,0.13444332885523405,0.179055977766567,0.1456607893526715,1.0,0.07651072264728032
XOM,0.07716668859391601,0.13226579307856795,0.02629172481257799,0.10481982025504587,-0.09523802484359739,0.301329883686553,0.12735008966797487,0.06866286948335083,0.1336468316542312,0.057313759125427674,0.24186510152524207,0.17964431020941063,0.018064587101362283,0.19799519279840166,0.14556221364616712,0.1327553179372441,0.3030882090968534,0.08034053288897937,0.10844471541845742,0.12148155495662481,0.1648351582997355,0.09819850323460258,-0.0795996649734624,0.06134349421832755,-0.1534171012342708,-0.03325342542151782,0.24763217240932872,0.07651072264728032,1.0
