id;nhogar;zona;v2_3;v4;h2_2;hacinam_3;tipoho_2;fexp
374;1;3;2;2;1;1;2;567
375;1;2;2;2;1;1;1;1429
376;1;2;2;3;2;1;1;415
377;1;1;2;3;2;1;3;461
378;1;2;2;2;1;1;1;541
379;1;1;2;2;1;1;2;744
380;1;2;1;1;2;2;1;252
381;1;2;2;1;1;1;2;315
382;1;1;2;2;2;1;2;841
383;1;1;2;2;2;1;1;63
384;1;1;2;3;2;1;1;59
385;1;3;2;2;2;1;3;171
386;1;1;2;3;2;1;1;596
387;1;1;2;1;2;2;1;337
388;1;3;1;3;3;1;3;310
389;1;2;3;1;2;1;2;166
390;1;3;1;3;3;1;1;239
391;1;2;3;1;2;1;2;117
392;1;2;3;1;2;1;2;224
393;1;3;2;2;2;1;1;204
394;1;2;2;1;2;2;1;1433
395;1;3;2;3;2;1;3;536
396;1;2;2;3;2;1;3;1308
397;1;2;3;1;2;2;1;177
398;1;1;2;2;2;1;1;790
399;1;2;2;4;2;1;1;2073
400;1;2;3;1;2;1;2;172
401;1;1;3;1;3;2;1;216
402;1;2;1;2;3;1;1;288
403;1;2;3;1;3;2;1;177
404;1;1;2;2;1;1;1;90
405;1;3;2;3;1;1;2;48
406;1;2;2;2;1;1;1;487
407;1;2;2;2;1;1;1;1549
408;1;2;3;1;2;2;1;456
409;1;3;2;3;1;1;2;134
410;1;1;2;3;3;1;1;571
411;1;1;2;3;2;1;1;335
412;1;1;2;2;2;1;2;811
413;1;3;2;3;1;1;1;815
414;1;3;2;1;2;1;2;687
415;1;2;2;1;2;1;2;918
416;1;2;2;2;2;1;1;517
417;1;1;2;2;1;1;2;541
418;1;2;2;3;1;1;1;498
419;1;2;3;4;3;1;1;120
420;1;1;2;2;2;1;2;1022
421;1;1;2;2;2;1;1;536
422;1;2;2;2;1;1;1;632
423;1;3;2;3;1;1;1;58
424;1;1;2;3;3;1;2;946
425;1;2;2;2;2;1;1;464
426;1;1;2;2;2;1;2;516
427;1;1;2;2;2;1;2;1021
428;1;2;1;1;2;2;1;288
429;1;2;2;1;2;2;1;298
430;1;2;3;1;2;1;2;437
431;1;3;3;1;3;1;2;146
432;1;3;1;4;2;1;3;258
432;2;3;1;4;2;2;1;258
433;1;2;2;3;2;1;1;499
434;1;2;2;1;2;2;1;1570
435;1;2;2;2;2;2;1;554
436;1;3;1;3;3;1;1;292
437;1;2;2;3;2;1;2;137
438;1;2;2;1;2;2;1;149
439;1;2;2;4;1;1;1;197
440;1;2;2;1;1;1;2;434
441;1;2;3;2;2;2;1;413
442;1;3;2;2;2;2;1;625
443;1;1;2;5;3;1;1;694
444;1;3;3;1;2;1;2;356
445;1;3;1;4;1;1;3;56
446;1;3;2;3;1;1;1;596
447;1;2;2;3;1;1;1;2052
448;1;2;2;1;2;1;2;522
449;1;3;2;2;1;1;1;1205
450;1;3;2;2;2;1;1;151
451;1;1;2;4;1;1;1;362
452;1;3;2;3;2;1;1;85
453;1;3;2;4;2;1;1;62
454;1;1;2;2;2;1;2;765
455;1;1;2;3;2;1;1;130
456;1;3;2;2;2;1;1;657
457;1;2;2;2;2;1;2;1338
458;1;2;3;1;2;2;1;178
459;1;3;2;2;2;2;1;759
460;1;1;2;1;3;2;1;727
461;1;3;3;2;2;2;1;322
462;1;3;1;1;3;1;2;231
463;1;3;1;3;1;1;1;152
464;1;2;3;2;3;2;1;323
465;1;2;3;1;2;1;2;224
466;1;2;1;3;1;1;1;2023
467;1;1;1;4;2;1;1;454
468;1;3;2;4;2;2;1;1402
469;1;1;2;2;3;2;1;746
470;1;3;2;2;2;1;1;276
471;1;1;2;2;2;1;2;618
472;1;2;2;3;1;1;1;536
473;1;3;1;4;3;1;1;294
474;1;3;2;3;3;1;1;592
475;1;1;2;2;2;1;2;638
476;1;2;2;2;2;1;2;1427
477;1;2;2;3;1;1;1;413
478;1;1;2;2;2;1;2;664
479;1;3;2;2;1;1;2;490
480;1;2;2;1;2;1;2;158
481;1;1;2;1;2;1;2;1071
482;1;2;2;3;2;1;2;2188
483;1;1;2;4;2;1;1;398
484;1;1;2;3;3;1;1;938
485;1;3;2;3;2;1;1;596
486;1;1;2;4;1;1;1;646
487;1;3;2;1;3;2;1;303
488;1;3;2;1;2;2;1;177
489;1;3;2;2;1;2;1;673
490;1;2;2;3;3;2;1;1394
